gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,89.88,4597.77,No
Female,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.24,242.21,No
Male,1,No,No,17,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),88.26,1496.49,No
Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,78.86,862.03,No
Female,0,No,No,5,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.51,309.7,Yes
Male,0,No,No,21,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),49.12,1016.8,No
Male,0,No,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),75.8,2847.16,No
Male,1,No,Yes,26,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),57.21,1507.2,No
Female,0,Yes,No,19,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),55.4,1042.59,No
Female,0,Yes,Yes,7,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,59.07,408.54,No
Female,0,No,No,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,36.74,491.36,No
Male,0,Yes,No,14,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),99.4,1370.5,No
Male,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,505.41,No
Male,1,No,No,10,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),35.91,368.94,No
Female,0,Yes,No,24,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,86.11,2052.84,No
Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,82.86,1431.53,Yes
Male,0,No,Yes,31,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,43.26,1373.76,No
Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.23,891.12,Yes
Male,0,No,No,14,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),49.16,622.96,No
Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.03,680.24,No
Male,0,No,Yes,17,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,57.55,978.9,Yes
Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,81.44,1471.28,Yes
Male,0,Yes,No,37,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),52.49,1972.72,No
Male,0,No,No,11,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,53.09,590.0,No
Male,1,No,Yes,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,85.54,1792.02,No
Female,0,Yes,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,125.84,Yes
Female,0,No,Yes,29,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),53.74,1588.16,No
Female,0,Yes,Yes,3,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,56.04,133.66,No
Female,0,Yes,No,60,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,50.93,3080.99,No
Male,0,Yes,No,36,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,44.87,1609.01,No
Male,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,40.26,Yes
Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,88.15,865.08,Yes
Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.15,235.96,No
Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Electronic check,87.05,1408.63,No
Female,1,Yes,Yes,6,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.97,329.11,No
Female,0,Yes,Yes,16,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),61.15,1008.04,No
Female,1,Yes,No,6,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.89,431.35,Yes
